id,name,description,price,stock_quantity,category,image_url,created_at,updated_at,variants
27,Dasylirion glaucophylum,"Dasylirion Wheleeri, originaire du nord du Mexique, très résistante au gel -10°, c'est un arbuste très apprécié pour son feuillage persistant et sa très belle floraison, elle se taille très facilement pour former un tronc de 1.50cm.",38.0,0,Dasylirions,https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_3158.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
55,Aloe Striatula,"Aloe Striatula, originaire d'Afrique du Sud, très résistant au gel -10°, c'est un arbuste succulent ramifié aux rosettes de feuilles persistantes de couleur vertes. Floraison abondante en épis de fleurs vertes et jaunes, de 20 à 40 cm de haut, en été. Taille maximale 1m60, très adapté pour des haies et aménagement urbain.
Différentes tailles sont proposées, veuillez nous consulter pour les prix en gros.",48.0,1,"Agaves et aloes, Agaves et aloes > Aloes","https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_E4571.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_E4232-1.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_E4572.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
59,Yucca Rigida,"Yucca Rigida
Prix: 2.20 le cm de tronc
Différentes tailles et ramifications.",225.0,0,Yuccas,"https://www.atypic-cactus.com/wp-content/uploads/2014/07/YUCCARIGIDA.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/04/DSC_0188_012-e1420574701701.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/04/DSC_0187_011-e1420574731797.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66130,Yucca Rostrata - Multi têtes,"Yucca Rostrata Multi-têtes, sujets exceptionnels

Résistant jusqu'à -18° le yucca rostrata est très économique en eau, c'est le yucca à avoir dans son jardin

Taille 1m60- 1m70 avec 3 à 5 bras",1150.0,0,"Yuccas > Rostrata, Sujets exceptionnels, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2014/07/DSC_0378_01.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66704,Echinocactus Grusonii 30cm,"Echinocactus Grusonii, originaire du Mexique, aussi appelé coussin de belle-mère,

Résistant au gel -7°,

Vendu en pot de diam 30cm",75.0,1,"Cactus, Cactus > Echinocactus","https://www.atypic-cactus.com/wp-content/uploads/2015/01/IMG_E1876.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/12/echinocactus-grussoniipetit_066-1.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66864,Aloe Ferox,"Aloe Ferox: Gros sujet

Plantes idéales pour les jardin secs, et cactus

Hauteur plante 80cm et largeur 80cm

350 euros",350.0,1,"Agaves et aloes, Agaves et aloes > Aloes, Sujets exceptionnels","https://www.atypic-cactus.com/wp-content/uploads/2016/05/IMG_4835.jpg, https://www.atypic-cactus.com/wp-content/uploads/2016/05/IMG_4834.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66957,Yucca Rostrata multi-tête,Yucca Rostrata sujet exceptionnel multi-tête,980.0,0,"Sujets exceptionnels, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2014/11/IMG_1666.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66961,Trichocereus Pasacana Tersheki géant,"<strong>Trichocereus pasacana et Tersheki Géant</strong>

Sujet exceptionnel entre 1M80 et 4 m de hauteur se ramifiant pouvant atteindre 12m

Le roi des cactus à planter dans toute la France, résistance au gel -17°

Consultez nous pour connaitre nos prix",,1,"Cactus, Sujets exceptionnels, Cactus > Trichocereus","https://www.atypic-cactus.com/wp-content/uploads/2020/03/IMG_0445.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6137.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6139.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6278.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6281.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6282.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6310.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6311.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67185,Yucca Linearis,"Yucca linearis, très résistant au gel -17°, plus fin que le rostrata, idéal pour un jardin ou intérieur

Sujet exceptionnel de taille adulte 2m+",550.0,0,"Sujets exceptionnels, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2017/11/DSC_0351_01.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67325,Agave Nigra,"Agave Nigra, -14°, hybride naturel de l'agave victoria reginae, sublime pour sa couleur et idéale pour les rocailles extérieures

Taille 30 Cm - Pot de 15L",98.0,1,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2018/05/IMG_3370.jpg, https://www.atypic-cactus.com/wp-content/uploads/2018/05/IMG_3371.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67415,Agave Parryi Huachucensis,"Cousin de l'Agave Parryi, une très belle espèce originaire de l'Arizona qui pousse en rosace mais ne prend pas trop de place contrairement aux agaves Americana...

Taille de sujet exceptionnel pour installation dans jardin

Diamètre plante 60-70cm",180.0,1,"Agaves et aloes > Agaves, Agaves et aloes, Sujets exceptionnels",https://www.atypic-cactus.com/wp-content/uploads/2018/09/agaves-parry-huachaensis.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67447,Ferocactus Glaucescens,"Ferocactus Glaucescens, magnifique couleur bleu-vert aux épines jaunes , l'été une magnifique couronne de fleurs jaunes se forme sur la haut de la plante

Originaire du Mexique, cactus très rustique, mesurant jusuq'à 50CM de largeur

Taille 30cm",85.0,0,"Cactus, Cactus > Ferocactus",https://www.atypic-cactus.com/wp-content/uploads/2018/11/IMG_E2268_01.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67449,Echinocactus Grusonii multi-têtes,"Echinocactus Grusonii <strong>multi-têtes</strong>

Résistant -7°
Origine Mexique

Taille 40 cm",220.0,1,"Cactus, Cactus > Echinocactus, Sujets exceptionnels","https://www.atypic-cactus.com/wp-content/uploads/2018/11/IMG_2763.jpg, https://www.atypic-cactus.com/wp-content/uploads/2018/11/IMG_2797.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67496,Opuntia Tapona,"Opuntia Tapona

Petit Opuntia 1M20 hauteur maximale, très apprécié car il possède peu d'épines, très belles fleurs jaune à croissance lente

Grande Résistance au froid : -12°

Vendu racine nue

Hauteur plante 40-50cm",38.0,0,"Cactus, Cactus > Opuntia",https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_1470.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67517,Senecio Serpens,"Senecio Serpens

Plante grasse vivace pouvant atteindre 1M de hauteur et 3m de large, feuillage bleu argenté très apprécié dans les rocailles dans un sol drainant, utilisé comme couvre sol

Résistance gel -3°

Vendu en pot de 12L",48.0,0,Agaves et aloes > Aloes,https://www.atypic-cactus.com/wp-content/uploads/2020/12/IMG_4493.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67554,Agave segurae,"Agave Segurae, d'un bleu clair très lumineux

Résistance gel -8/-10°° et sec

Diam Taille 70 cm

Pot 15L

&nbsp;",118.0,1,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2018/05/IMG_3365.jpg, https://www.atypic-cactus.com/wp-content/uploads/2018/05/IMG_3366.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/03/IMG_1768.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67566,Dasylirions wheeleri blue,"Dasylirions spectaculaires taille adulte, sujets exceptionnels pour un jardin

wheeleri blue  pot 80 litres

&nbsp;",380.0,0,"Dasylirions, Sujets exceptionnels",https://www.atypic-cactus.com/wp-content/uploads/2019/03/DSC_0830.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67663,Agave Parryi,"Agave Parryi

Livraison en pot 25L",98.0,1,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2022/03/IMG_2075.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/06/IMG_4202.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/06/IMG_0544.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67671,Agave lophanta  v. latifolia  'Ensifera',"Agave lophanta v. latifolia 'Ensifera'

Taille 60-70cm vert bleuté

Multiplication par rejet

Résistance -12°

Vendu racines nues ou en pot

&nbsp;",125.0,1,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2019/06/IMG_4207.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/06/IMG_4210.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67801,Yucca Rostrata blue swan petite taille,"Yucca Rostrata Blue Swan qualité exceptionnelle

Pot 15L

Hauteur plante 60cm

Bien enraciné

&nbsp;",78.0,0,"Yuccas > Rostrata, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2020/08/IMG_E4776.jpg https://www.atypic-cactus.com/wp-content/uploads/2020/08/IMG_E4774.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
68071,Aloe Cosmo,"Aloe Cosmo Grande taille 21 cm

Floraison orange

Pot 2l diamètre 21 cm",22.0,0,Agaves et aloes > Aloes,"https://www.atypic-cactus.com/wp-content/uploads/2019/12/aloe-csomo.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/12/DSC_0252.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
68073,Aloe Aristata,"Aloe Aristata  Grande Taille<strong> 30 cm</strong>

Résistance -10°

Taille et qualité exceptionnelle

Pot coupe 30cm",58.0,0,Agaves et aloes > Aloes,"https://www.atypic-cactus.com/wp-content/uploads/2019/12/IMG_4746.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/12/DSC_0294.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
68074,Aloe Arborescens,"Aloe Arborescens

Vendu en pot

1 taille disponible 40cm",40.0,0,Agaves et aloes > Aloes,"https://www.atypic-cactus.com/wp-content/uploads/2019/12/DSC_0243.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/12/IMG_0081.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
68075,Aloe Hybride,"Aloe Hybride

Aloe arborescent qui s'apparente à l'hybride Côte d'Azur

Très belle qualité

Hauteur sans pot 50/60cm",68.0,1,"Agaves et aloes, Agaves et aloes > Aloes","https://www.atypic-cactus.com/wp-content/uploads/2019/12/IMG_2098.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/12/IMG_2099.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
69088,Echinocactus Grusonii en groupe,"Echinocactus Grusonii en groupe

Appelé communément coussin de belle-mère, originaire du centre du Mexique, est un cactus globulaire résistant au froid -7 et à la sécheresse, très apprécié pour ses aiguilles jaunes or et ses fleurs annuelles qui forment une couronne jaune, il est indispensable dans toute rocaille méditerranéenne.

Multi-tête

Vendu en coupe 30cm",89.0,0,"Cactus, Cactus > Echinocactus","https://www.atypic-cactus.com/wp-content/uploads/2020/01/IMG_0031.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/01/IMG_0030.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70569,Myrtillocactus Geometrizans,"Myrtillocactus Geometrizans

Cierge arborescent bleuté

Résistance gel -4°

1 taille disponible 60cm très ramifié

Multiplication par bouturage

&nbsp;",118.0,1,Cactus,"https://www.atypic-cactus.com/wp-content/uploads/2023/04/IMG_6170.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/04/IMG_6374.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70615,Pachycereus Pringlei ramifié,"Pachycereus Pringlei ramifié

Sujet exceptionnel âgé de 20 ans, avec bras",1700.0,1,"Cactus > Pachycereus, Sujets exceptionnels",https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_0423_02.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70644,Aloe Spinosissima,"Aloe Spinosissima

De taille moyenne poussant en groupe et se multipliant par rejet. Feuille bleue-vert, non piquante

Hampe florale de 30 cm de couleur rouge

Résistant au gel -5°

Pot diam 21 cm

&nbsp;

&nbsp;",14.0,0,Agaves et aloes > Aloes,"https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_1549.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_0679.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70747,Cereus Forbesii Spiralis,"Cereus Forbesii Spiralis

Cactus de forme spiralée, très prisé par tous les amateurs de cactus, sa spirale peut changer de sens.

En pleine terre, ce cactus se ramifie et peut atteindre jusqu'à 4 mètres de hauteur. Il se plaira mieux en pleine terre surtout dans les régions méditerranéennes, plantés dans des rocailles et talus de terre drainée. Il tend à pousser de manière ramifiée, donnant un aspect spectaculaire à ce cactus. Mais il peut aussi être planté dans des pots ou jardinières en extérieur, et en intérieur à condition d'avoir un ensoleillement suffisant. Sa floraison est comparable au Cereus Peruvianus, ornée de grande fleur blanche.

Multiplication en bouturage

Arrosage de juin à fin août, une fois tous les 10 jours

Résistance gel -6°

Hauteur plante 30/40cm

&nbsp;",48.0,0,Cactus > Cereus,"https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0928.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0929.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0934.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
