id,name,description,price,stock_quantity,category,image_url,created_at,updated_at,variants
70758,Cycas Revoluta,"Le Cycas revoluta, appelé aussi sagoutier, sagou du Japon, cycas du Japon.

Taille de la plante 1M50 avec des rejets, de superbe qualité

Sujet vendu en pot, bien enraciné, à venir chercher sur place",580.0,0,Sujets exceptionnels,https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0964.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70780,Agave Striata,"Agave Striata

Originaire du Mexique, agave de taille adulte aux formes originales, idéal pour des réalisations extérieure,

Résistance gel -12°, contrairement à la majorité des agaves la floraison n'entraîne pas la mort de la plante, elle ne rejette pas mais peut se bouturer facilement en séparant les rosettes d'un même plant

Pot 25 litres

&nbsp;",68.0,0,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0980.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0979.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70800,Agave Americana Medio Picta Alba,"Agave Americana Medio Picta Alba

Agave variegata de l'agave americana, de taille moyenne, plante parfaite pour les rocailles

Elle supporte des substrats différents, et il est inutile de l'arroser en pleine terre.

Résistance froid -10°

Livré en pot 25L",88.0,0,Agaves et aloes > Agaves,"https://www.atypic-cactus.com/wp-content/uploads/2022/01/IMG_2077.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/01/IMG_2093.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70939,Pachycereus Pringlei Géant,"Pachycereus Pringlei Géant

Grand Cactus Cierge pouvant atteindre 20M, le géant des cactus aimé pour sa couleur grise bleutée, et ses côtés noirs arborées d'épines.

Plus sensible au gel que les Trichocereus mais résiste au température inférieure -5°/-6°. Le cactus incontournable dans les régions méditerranéennes.

Idéal pour la décoration intérieure et extérieure. De taille adulte, il nécessite peu d'arrosage.

&nbsp;",,1,Sujets exceptionnels,"https://www.atypic-cactus.com/wp-content/uploads/2020/11/IMG_1804.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/11/IMG_1833_01.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71379,Opuntia Anacantha,"Opuntia Anacantha

Originaire de Bolivie, cet opuntia d'un vert lumineux est très intéressant pour sa résistance au gel <strong>-12°</strong> en sol sec.

Planté en talus ou dans un sol drainant, il est très apprécié par le fait qu'il soit dépourvu d'épines.

Il peut monter jusqu'à 1M70, très arbustif.

Plante vendu en pot de 10L, très ramifié.

Hauteur plante 50/60 cm

&nbsp;",78.0,0,Cactus > Opuntia,"https://www.atypic-cactus.com/wp-content/uploads/2021/12/IMG_3212.jpg, https://www.atypic-cactus.com/wp-content/uploads/2021/12/IMG_3337.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71516,"Stenocereus Marginatus V. Cristata ""rare""","Stenocereus Marginatus V. Cristata <strong>""RARE"" en pot</strong>

Cactus Cristé de collection très belle qualité de cristation, idéal pour une décoration intérieure

Résistance -2°, substrat drainant, exposition soleil mi-ombre,

Vendu dans un pot en grès 25 cm rempoté dans du terreau cactus",120.0,1,Sujets exceptionnels,"https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_E6366.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_6354.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_6331.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_6446.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71538,Agave Asperrima,"Agave Asperrima

Agave appelé aussi agave scabra, originaire du nord du Mexique dans le désert du Chihuahua

Gros Agave idéal pour les jardins d'extérieurs, préparer un sol drainant ou en talus

Résistance -15°

Vendu en pot 35-40Litres",220.0,0,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2022/04/IMG_4123.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/04/IMG_4125_01.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71543,Oreocereus Celsianus,"Oreocereus Celsianus

Cactus cierge du nord de l'Argentine, Pérou,

Très apprécié pour ses longues soies blanches, appelé aussi le vieil homme des Andes

Sensible à l'humidité mais résistant au froid -7°

Hauteur plante 40/50cm

Vendu en pot",148.0,0,"Cactus, Cactus > Cereus","https://www.atypic-cactus.com/wp-content/uploads/2022/04/IMG_1420.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/04/IMG_1421.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71608,Echinocereus coccineus,"Echinocereus coccineus

Cactus à floraison exceptionnelle, fleurs rouge tirant sur l'orange

Originaire du nord du Mexique, et Sud des USA, ce cactus pousse en touffe pouvant atteindre 40cm de hauteur,

Plantation dans un sol drainant, très résistant au froid - 12°,

Vendu en pot de 7 Litres

&nbsp;",58.0,0,Cactus,"https://www.atypic-cactus.com/wp-content/uploads/2022/05/IMG_4497.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/05/IMG_4441.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/05/IMG_4476.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/05/IMG_4498.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71688,Agave Geminiflora,"Agave Geminiflora

Agave originaire du Mexique, très rustique et apprécié pour son port hémisphérique

Feuilles fines, souples et peu piquantes

Résistance au froid -10°

Largeur plante 50cm

Pot 25L",98.0,1,Agaves et aloes > Agaves,"https://www.atypic-cactus.com/wp-content/uploads/2022/07/IMG_2092.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/07/IMG_2091.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/07/IMG_2090.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71728,Opuntia Robusta,"Opuntia Robusta

Aussi appelé Opuntia Belen, originaire du Mexique, très rustique - 15°

Fleur jaune aux feuilles géantes pouvant atteindre 40CM de diamètre, leurs fruits énormes sont très appréciés en Californie

Taille 40-50cm

Pot 12L",68.0,1,"Cactus, Cactus > Opuntia",https://www.atypic-cactus.com/wp-content/uploads/2022/08/IMG_4625.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71789,Stetsonia Coryne,"Stetsonia Coryne

Originaire des déserts d'Argentine, Bolivie  et Paraguay

Cierge arborescent bleu-vert, pouvant atteindre 9 mètres

Cultivable à l'intérieur et à l'extérieur, Résistance au gel -4°

Qualité supérieur avec plusieurs bras

Taille 60/70cm",88.0,0,"Cactus, Cactus > Cereus","https://www.atypic-cactus.com/wp-content/uploads/2022/10/IMG_E4783.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/10/IMG_E5037.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71855,Agave Ovatifolia,"Agave Ovatifolia

Originaire du Nord-est du Mexique, cette espèce pousse en altitude entre 1100 et 2100 M,

Très résistante au froid et à l'humidité - 15°, pouvant atteindre de 2M d'envergure,

Croissance assez rapide, à planter dans un sol drainant.",98.0,0,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2023/01/IMG_E5459.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/01/IMG_E5351.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71914,Agave Montana,"Agave Montana

Originaire du nord-est Mexique, Poussant entre 2000 et 3000 mètres

Agave Rare et très résistante au froid - 20 degrés,

Plante idéale pour les zones de France les plus froides.",98.0,0,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_E0388-scaled.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_E5448.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_E0389-scaled.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72005,Agave Potatorum,"Agave potatorum f. verschaffeltii

Cette sous espèce de la Potatorum possède des feuilles plus longues, elle est très appréciée pour sa rosette,

Résistant au froid -8°, idéal pour la plantation en extérieur,

Vendu en pot C30-15L",128.0,1,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2023/05/IMG_1374.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/05/IMG_1373.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/05/IMG_1371_01.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72021,Opuntia Macrocentra Violacea,"Opuntia Macrocentra Violacea

Originaire du Nord du Mexique, et des haut-plateaux d’Arizona, du Nouveau-Mexique et du Texas, poussant à une altitude de 1000 à 1700 m

Idéale pour tout type de climat, ne dépasse pas 1M

Très appréciée pour le violet vif de ses raquettes,

Résistance à la neige et au gel -23°

Hauteur plante 30/40 cm

Vendu en Pot",78.0,1,Cactus > Opuntia,"https://www.atypic-cactus.com/wp-content/uploads/2023/05/IMG_1424-scaled.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/05/IMG_1425-scaled.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72253,Opuntia Leucotricha,"Opuntia Leucotricha

Originaire du centre nord du Mexique

Epines blanches et belle floraison jaune, pouvant atteindre 5 mètres de haut

Parfait pour vos plantations extérieures, en pot ou en pleine terre pouvant constituer des barrières végétales

Très résistant aux grands froids -15°

Taille hors pot 50/60 cm

Vendu en pot 10L",68.0,1,"Cactus, Cactus > Opuntia","https://www.atypic-cactus.com/wp-content/uploads/2024/01/IMG_2171.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/01/IMG_2170.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72421,Opuntia microdasys albispina,"<strong>Opuntia Microdasys Albispina</strong>

Opuntia très graphique, pouvant atteindre 1M de haut

Idéal pour les plantations en rocaille, floraison jaune

Très résistante au froid -12°

Hauteur plante 40 cm

Vendu en pot de 10L",78.0,1,"Cactus, Cactus > Opuntia",https://www.atypic-cactus.com/wp-content/uploads/2024/06/IMG_3377.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72429,Lot de 2 Opuntia Violacea Santa Rita,"<strong>Lot de 2 opuntia Santa rita</strong>

Maginfique opuntia aux raquettes violettes durant l'hiver et l'été,

Opuntia arbusif ne dépassant pas 1M à la floraison abondante

Très résistant au froid -20°, il peut se planter partout en France

Hauteur plante 30cm",76.0,1,"Cactus, Cactus > Opuntia","https://www.atypic-cactus.com/wp-content/uploads/2024/06/IMG_4859.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/06/IMG_4850.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/06/IMG_4851.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72484,Opuntia Engelmanni Rastrera,"Opuntia Engelmanni Rastrera

Opuntia résistant à - 20 ° idéal pour les plantations extérieures dans toute la France

hauteur plante 40/50 cm",98.0,1,"Cactus, Cactus > Opuntia","https://www.atypic-cactus.com/wp-content/uploads/2024/08/IMG_4827_01.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/08/IMG_4834_01.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/08/IMG_4829.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72508,Opuntia Ficus Indica grande taille,"Opuntia Ficus Indica

Appelé aussi figue de Barbarie, très ornemental dans les rocailles et peu épineux,

Très apprécié pour ses qualités gustatives et nutritionnelles, les fruits orangés ainsi que les cladodes (raquette) représentent selon l’ONU “un aliment d’avenir”.

Résistance à la sècheresse et au froid -8°

Vendu en pot",148.0,1,"Cactus > Opuntia, Sujets exceptionnels","https://www.atypic-cactus.com/wp-content/uploads/2024/09/IMG_4862.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/09/IMG_4861.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72515,Opuntia Scheerii de grande taille,"Opuntia Scheerii de grande taille

Idéal pour la plantation en pleine terre dans toute la France, la variété d'opuntia incontournable pour le jardin sec

Grandes raquettes aux aiguillons jaune vif

Résistance au froid -18°

Taille 80/100cm

Vendu en Pot 35L",178.0,1,"Cactus > Opuntia, Sujets exceptionnels",https://www.atypic-cactus.com/wp-content/uploads/2024/09/IMG_4860.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72521,Opuntia Santa Rita,Opuntia Santa Rita,1.0,1,Cactus,,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72531,Trichocereus Pasacana Costena Hybride,"Trichocereus Pasacana Costena hybride semi-inermis Unique

<strong>Exclusivité chez Atypic Cactus produit par nos soins</strong>

Cactus rare et unique, un hybride, semi-inermis qui pousse fort, idéal pour les plantations extérieures.

Ce cactus d'un vert intense a une croissance rapide en pleine terre, et <strong>possède très peu d'épines</strong>. Il perd ses épines en grandissant.

Floraison spectaculaire au mois de juin et juillet

Résistance -15°

Hauteur sans 40cm",118.0,0,"Cactus, Sujets exceptionnels, Cactus > Trichocereus","https://www.atypic-cactus.com/wp-content/uploads/2024/10/IMG_4969_01.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/10/IMG_4966_01.jpg, https://www.atypic-cactus.com/wp-content/uploads/2024/10/IMG_4967_01.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
72596,Yucca Torreyi,"Yucca originaire du nord-est du Mexique, très proche du yucca baccata,

Très apprécié pour ses longues feuilles, et son port insolite, pouvant atteindre 4/5M

Très résistant au froid -15°

Taille hors du pot 80/100cm",148.0,1,Yuccas,"https://www.atypic-cactus.com/wp-content/uploads/2025/01/IMG_4524_02.jpg, https://www.atypic-cactus.com/wp-content/uploads/2025/01/IMG_4525_01.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
